,features,importance
28,initial_quantity,0.14435096
357,listing_type_id_free,0.11423004
0,accepts_mercadopago,0.06592752
4,title_new,0.030973667
7,warranty_yes,0.029615415
3,free_shipping,0.027623843
30,buying_mode_buy_it_now,0.025093382
5,title_usado,0.02328554
346,seller_address_state_AR-U,0.01986073
26,MLAWT,0.018338585
1,automatic_relist,0.013170057
298,seller_address_city_TUxBQlJFVDgyMDVa,0.011915631
361,listing_type_id_gold_special,0.01129718
205,seller_address_city_TUxBQ1LNTzc4N2Fm,0.010191034
263,seller_address_city_TUxBQk5VRTc3MTZa,0.01010883
349,seller_address_state_AR-X,0.008047932
187,seller_address_city_TUxBQ1BJTDQ3NDE,0.008027197
367,tags_no_list_dragged_bids_and_visits,0.007943902
359,listing_type_id_gold_premium,0.007324365
157,seller_address_city_TUxBQ0lUVTNjNDFm,0.007097751
281,seller_address_city_TUxBQkZMTzMwNzRa,0.006852496
355,status_paused,0.0068249954
295,seller_address_city_TUxBQlBBVDI0ODFa,0.006599353
262,seller_address_city_TUxBQk1PTjUxOTJa,0.006558098
47,seller_address_city_TUxBQ01BUjU2MGMw,0.0064584785
11,variations_new,0.0063849343
224,seller_address_city_TUxBQ1NBTjgxODQ,0.006290108
366,mode_not_specified,0.0059679034
12,official_store_id_new,0.005923685
27,base_price,0.0058458373
23,MLAVE,0.0057755425
15,MLACD,0.0056468314
297,seller_address_city_TUxBQlJFQzkyMTVa,0.0056176377
260,seller_address_city_TUxBQk1BVDMwMDJa,0.0055004363
356,listing_type_id_bronze,0.005453492
291,seller_address_city_TUxBQlBBTDgwMjla,0.0052136057
9,video_id_new,0.0048645157
316,seller_address_city_TUxBQlZJTDcwOTla,0.004858642
312,seller_address_city_TUxBQlZJTDQyMjBa,0.00477099
6,warranty_no,0.0047008493
302,seller_address_city_TUxBQlNBTjgzMjRa,0.0046953904
14,MLABC,0.0045286184
21,MLAOT,0.0044499314
80,seller_address_city_TUxBQ0JFUjYyYWU3,0.0044396566
271,seller_address_city_TUxBQkJFTDcyNTJa,0.0043794266
253,seller_address_city_TUxBQ1ZJQ2E3MTQz,0.0043541216
267,seller_address_city_TUxBQkJBTDMxMDZa,0.0042627826
282,seller_address_city_TUxBQkZMTzg5MjFa,0.0042500757
352,status_active,0.0042049857
330,seller_address_state_AR-C,0.0040166234
336,seller_address_state_AR-J,0.003974303
293,seller_address_city_TUxBQlBBUjUyOTZa,0.003955952
8,attributes_new,0.0039143506
25,MLAWC,0.0038469164
201,seller_address_city_TUxBQ1JPUzg1Yjg3,0.0037003113
17,MLAMC,0.0036118813
362,listing_type_id_silver,0.0036060272
146,seller_address_city_TUxBQ0dFTmVyYWxz,0.003565782
315,seller_address_city_TUxBQlZJTDc4MDda,0.003544661
365,mode_me2,0.0035300772
167,seller_address_city_TUxBQ0xBUGxhdGE,0.0035013815
303,seller_address_city_TUxBQlNBTjkwNTZa,0.0034601034
266,seller_address_city_TUxBQkFMTTMwNTBa,0.0034591614
61,seller_address_city_TUxBQ01PUmViMTE3,0.0033681632
103,seller_address_city_TUxBQ0NBUzE3NTU5Mg,0.0033010787
287,seller_address_city_TUxBQlBBTDI1MTVa,0.0032925254
358,listing_type_id_gold,0.003250243
223,seller_address_city_TUxBQ1NBTjg4ZmJk,0.0031569568
301,seller_address_city_TUxBQlNBTjgxMzNa,0.0031507956
41,seller_address_city_QVItWFZpbGxhIE1hcg,0.0030859492
53,seller_address_city_TUxBQ01FUmUyYWZl,0.0030277192
306,seller_address_city_TUxBQlZJTDE2MDBa,0.0030042282
328,seller_address_state_AR-A,0.002971676
154,seller_address_city_TUxBQ0hVUmxpbmdo,0.0029592135
74,seller_address_city_TUxBQ0FWRTc5OTQ1,0.0029179587
283,seller_address_city_TUxBQkxBQjk1ODJa,0.0028789167
279,seller_address_city_TUxBQkNPTDI3NDNa,0.0028389494
274,seller_address_city_TUxBQkJPRTQ0OTRa,0.0028097478
241,seller_address_city_TUxBQ1RJRzk0ZjQw,0.0027382902
181,seller_address_city_TUxBQ1BBUmI5Njhh,0.0026810654
370,tags_no_list_no_tags,0.002663859
109,seller_address_city_TUxBQ0NISTc3MjA,0.002621254
226,seller_address_city_TUxBQ1NBTm1pZ3VlbA,0.002620665
363,mode_custom,0.0025729213
343,seller_address_state_AR-R,0.0025676214
344,seller_address_state_AR-S,0.002555613
348,seller_address_state_AR-W,0.0025413823
268,seller_address_city_TUxBQkJBUjM0MDha,0.00247618
246,seller_address_city_TUxBQ1RSRTMxODE5NA,0.0024521807
294,seller_address_city_TUxBQlBBUjYwMzZa,0.0024363596
339,seller_address_state_AR-M,0.0024125704
60,seller_address_city_TUxBQ01PUmI1NTBj,0.0024013773
2,local_pick_up,0.0023324771
22,MLATB,0.0023248924
90,seller_address_city_TUxBQ0NBUDFmNDY3,0.0023038958
162,seller_address_city_TUxBQ0xBTWF0YW56,0.0022763498
276,seller_address_city_TUxBQkNBQjM4MDda,0.002264216
76,seller_address_city_TUxBQ0JBSDI0OTNk,0.0022175766
32,seller_address_city_,0.0021825968
285,seller_address_city_TUxBQkxJTjEzNTha,0.0021820052
264,seller_address_city_TUxBQk7a0TcwOTRa,0.0020883
